time,open,high,low,close,volume,open_interest,average_price
2006-12-18,8538.0,9032.0,8538.0,8880.0,22288,3101,8926.0
2006-12-19,8860.0,8958.0,8806.0,8906.0,24535,3744,8902.0
2006-12-20,8944.0,8970.0,8906.0,8958.0,12793,4441,8948.0
2006-12-21,8940.0,8948.0,8884.0,8912.0,9707,4040,8914.0
2006-12-22,8904.0,8928.0,8824.0,8924.0,4977,3778,8886.0
2006-12-25,8918.0,9140.0,8912.0,9098.0,17395,6201,9074.0
2006-12-26,9120.0,9166.0,9062.0,9158.0,18623,6413,9108.0
2006-12-27,9082.0,9126.0,9008.0,9016.0,17840,7181,9060.0
2006-12-28,9000.0,9006.0,8850.0,8856.0,15991,7393,8908.0
2006-12-29,8850.0,8934.0,8780.0,8898.0,16016,5615,8878.0
2007-01-04,8690.0,8772.0,8530.0,8734.0,17006,6045,8710.0
2007-01-05,8660.0,8804.0,8612.0,8782.0,19836,7090,8750.0
2007-01-08,8806.0,8838.0,8738.0,8746.0,18056,6580,8780.0
2007-01-09,8726.0,8820.0,8714.0,8776.0,15515,7274,8774.0
2007-01-10,8790.0,8814.0,8740.0,8744.0,15395,6817,8786.0
2007-01-11,8690.0,8782.0,8690.0,8730.0,11096,6067,8752.0
2007-01-12,8720.0,8752.0,8646.0,8670.0,9015,6063,8688.0
2007-01-15,8720.0,8770.0,8680.0,8696.0,7895,6132,8722.0
2007-01-16,8700.0,8740.0,8616.0,8626.0,9491,6419,8682.0
2007-01-17,8584.0,8636.0,8472.0,8490.0,12178,7889,8530.0
2007-01-18,8530.0,8530.0,8356.0,8376.0,15573,8903,8444.0
2007-01-19,8344.0,8382.0,8254.0,8340.0,23217,8038,8340.0
2007-01-22,8370.0,8386.0,8102.0,8130.0,30250,11532,8204.0
2007-01-23,8060.0,8186.0,8056.0,8162.0,29629,9937,8134.0
2007-01-24,8220.0,8312.0,8180.0,8254.0,27382,8017,8268.0
2007-01-25,8258.0,8292.0,8214.0,8260.0,17144,8360,8262.0
2007-01-26,8252.0,8290.0,8232.0,8282.0,10360,7950,8266.0
2007-01-29,8306.0,8336.0,8200.0,8214.0,15107,8949,8286.0
2007-01-30,8170.0,8216.0,8112.0,8184.0,14812,9616,8178.0
2007-01-31,8280.0,8314.0,8238.0,8272.0,14294,9756,8276.0
2007-02-01,8280.0,8318.0,8266.0,8300.0,12839,9762,8296.0
2007-02-02,8280.0,8350.0,8198.0,8202.0,20192,9083,8284.0
2007-02-05,8250.0,8268.0,8156.0,8188.0,16628,9347,8200.0
2007-02-06,8180.0,8248.0,8180.0,8230.0,11886,9334,8220.0
2007-02-07,8248.0,8298.0,8224.0,8284.0,13177,9018,8272.0
2007-02-08,8246.0,8294.0,8218.0,8262.0,13838,9583,8260.0
2007-02-09,8300.0,8380.0,8292.0,8318.0,21284,10535,8338.0
2007-02-12,8282.0,8354.0,8280.0,8348.0,13263,8607,8332.0
2007-02-13,8302.0,8410.0,8302.0,8394.0,11692,9278,8354.0
2007-02-14,8420.0,8460.0,8382.0,8446.0,22835,12080,8426.0
2007-02-15,8420.0,8446.0,8398.0,8422.0,10197,11101,8420.0
2007-02-16,8420.0,8440.0,8402.0,8438.0,4127,10193,8428.0
2007-02-26,8500.0,8550.0,8420.0,8432.0,13638,10879,8460.0
2007-02-27,8414.0,8444.0,8384.0,8416.0,7380,10476,8418.0
2007-02-28,8372.0,8432.0,8342.0,8422.0,6424,9899,8396.0
2007-03-01,8452.0,8484.0,8416.0,8480.0,7548,9236,8452.0
2007-03-02,8470.0,8540.0,8462.0,8536.0,10104,10141,8508.0
2007-03-05,8500.0,8530.0,8454.0,8478.0,7445,9265,8498.0
2007-03-06,8466.0,8498.0,8440.0,8498.0,4224,8563,8474.0
2007-03-07,8500.0,8530.0,8484.0,8504.0,4904,9067,8510.0
2007-03-08,8530.0,8530.0,8480.0,8498.0,4668,9159,8504.0
2007-03-09,8490.0,8500.0,8426.0,8450.0,4837,8841,8460.0
2007-03-12,8430.0,8450.0,8364.0,8386.0,8675,9265,8400.0
2007-03-13,8400.0,8424.0,8382.0,8394.0,5265,9704,8404.0
2007-03-14,8384.0,8398.0,8348.0,8380.0,4749,9310,8370.0
2007-03-15,8390.0,8410.0,8380.0,8380.0,3439,9806,8398.0
2007-03-16,8356.0,8386.0,8330.0,8384.0,4364,10103,8356.0
2007-03-19,8388.0,8414.0,8366.0,8380.0,4393,10251,8392.0
2007-03-20,8388.0,8388.0,8350.0,8366.0,3623,10339,8368.0
2007-03-21,8370.0,8388.0,8360.0,8364.0,3930,10818,8374.0
2007-03-22,8374.0,8402.0,8372.0,8384.0,5218,10809,8386.0
2007-03-23,8410.0,8438.0,8408.0,8418.0,6725,10423,8424.0
2007-03-26,8428.0,8428.0,8384.0,8388.0,3253,10157,8402.0
2007-03-27,8408.0,8408.0,8312.0,8322.0,5323,10580,8352.0
2007-03-28,8344.0,8382.0,8304.0,8366.0,6511,10294,8346.0
2007-03-29,8368.0,8372.0,8332.0,8336.0,2344,9878,8348.0
2007-03-30,8370.0,8412.0,8368.0,8376.0,6586,9282,8390.0
2007-04-02,8300.0,8502.0,8300.0,8498.0,9013,8347,8458.0
2007-04-03,8496.0,8598.0,8494.0,8570.0,10792,8295,8548.0
2007-04-04,8560.0,8610.0,8538.0,8546.0,7593,7772,8576.0
2007-04-05,8550.0,8574.0,8516.0,8550.0,2569,7094,8544.0
2007-04-06,8684.0,8724.0,8636.0,8662.0,10712,10381,8690.0
2007-04-09,8690.0,8720.0,8640.0,8690.0,8886,12629,8686.0
2007-04-10,8612.0,8672.0,8612.0,8660.0,7253,12490,8656.0
2007-04-11,8670.0,8708.0,8650.0,8682.0,8478,14524,8682.0
2007-04-12,8694.0,8796.0,8686.0,8780.0,19648,19474,8762.0
2007-04-13,8818.0,8908.0,8800.0,8862.0,19450,20660,8852.0
2007-04-16,8882.0,8998.0,8882.0,8962.0,17991,18426,8970.0
2007-04-17,8950.0,8978.0,8904.0,8916.0,7820,18772,8934.0
2007-04-18,8948.0,8996.0,8698.0,8844.0,21864,19075,8866.0
2007-04-19,8854.0,8870.0,8672.0,8776.0,11942,18959,8764.0
2007-04-20,8754.0,8850.0,8752.0,8788.0,9863,19233,8806.0
2007-04-23,8828.0,8874.0,8802.0,8818.0,5465,18755,8838.0
2007-04-24,8928.0,8930.0,8870.0,8878.0,5696,19320,8888.0
2007-04-25,8822.0,8884.0,8822.0,8850.0,3924,19215,8850.0
